,rent,endereco,rooms,bathroom,parking,area
910,4000,                Rua Bahia  ,2,2,2,82
911,2900,                Pompéia Santos ,1,2,1,45
912,1600,                Avenida Presidente Wilson  ,1,1,1,64
913,1900,                Praça Doutor Hipólito do Rego ,2,3,2,148
914,2600,                Rua Doutor Alamir Martins ,3,2,3,109
915,5300,                Rua Dona Anália Franco ,3,2,3,160
916,9900,                Avenida Doutor Epitácio Pessoa ,4,5,4,204
917,2400,                Rua Pedro Américo  ,2,3,2,120
918,3100,                Gonzaga Santos ,2,2,2,87
919,11000,                Avenida Washington Luiz  ,4,6,4,304
920,2300,                Rua Pindorama  ,2,2,2,85
921,1300,                Rua Doutor Batista Pereira  ,2,1,2,75
922,1500,                Rua Martim Francisco ,2,1,2,60
923,4000,                Avenida Conselheiro Nébias ,2,2,2,47
924,2500,                Praça Nossa Senhora do Carmo ,2,2,2,85
925,1500,                Avenida Afonso Pena ,2,1,2,72
926,4500,                Rua Tolentino Filgueiras  ,2,2,2,79
927,3500,                Rua Doutor Samuel Baccarat ,1,1,1,47
928,3800,                Aparecida Santos ,3,1,3,130
929,3500,                Rua Tolentino Filgueiras ,1,1,1,51
930,8000,                Boqueirão Santos ,3,4,3,200
931,1700,                Boqueirão Santos ,1,2,1,52
932,1500,                Rua Alfredo Albertini ,2,1,2,96
933,2900,                Rua Oswaldo Cruz ,2,3,2,80
934,1300,                Rua da Paz ,1,1,1,30
935,4500,                Rua Álvaro Alvim  ,3,3,3,120
936,8500,                Ponta da Praia Santos ,3,1,3,151
937,1400,                Rua Cunha Moreira  ,3,1,3,78
938,2000,                Avenida Bartolomeu de Gusmão  ,1,1,1,49
939,3300,                Gonzaga Santos ,1,2,1,57
940,2780,                Avenida Ana Costa ,3,2,3,122
941,4500,                Rua Jorge Tibiriçá ,3,3,3,168
942,2400,                Rua Saturnino de Brito ,2,2,2,98
943,2500,                Rua Comendador Martins ,2,2,2,79
944,6000,                Ponta da Praia Santos ,3,4,3,125
945,1200,                Rua Paraíba  ,2,2,2,70
946,2200,                Marapé Santos ,2,2,2,64
947,1800,                Rua Doutor Amílcar Mendes Gonçalves ,1,1,1,68
948,2500,                Rua Pedro Borges Gonçalves ,2,3,2,140
949,3110,                José Menino Santos ,3,3,3,100
950,2100,                Encruzilhada Santos ,2,2,2,137
951,2101,                Rua Clóvis Beviláqua ,3,3,3,130
952,1800,                Rua Alexandre Herculano  ,3,1,3,106
953,1800,                Avenida General Francisco Glicério ,1,1,1,46
954,1850,                Avenida Doutor Epitácio Pessoa ,1,2,1,60
955,1900,                Rua São Judas Tadeu ,2,1,2,58
956,2010,                Embaré Santos ,3,2,3,75
957,1400,                Aparecida Santos ,1,1,1,45
958,1400,                Avenida Presidente Wilson  ,1,1,1,50
959,1700,                Rua Nabuco de Araújo ,1,2,1,70
960,1850,                Avenida Senador Pinheiro Machado ,2,1,2,75
961,1500,                Rua Campos Melo ,2,1,2,60
962,1600,                Ponta da Praia Santos ,1,1,1,65
963,2566,                Gonzaga Santos ,3,2,3,78
964,3500,                Avenida Presidente Wilson ,1,1,1,44
965,3200,                Rua Doutor Luís Suplicy ,2,2,2,114
966,3000,                Avenida General Francisco Glicério ,2,2,2,70
967,2200,                Avenida Presidente Wilson ,1,1,1,40
968,2800,                Ponta da Praia Santos ,3,3,3,176
969,6000,                Rua Mato Grosso  ,4,5,4,210
970,6650,                Avenida Doutor Epitácio Pessoa ,3,5,3,158
971,8000,                Avenida Washington Luiz  ,4,5,4,220
972,2900,                Embaré Santos ,3,3,3,90
973,4500,                Boqueirão Santos ,2,2,2,70
974,3000,                Marapé Santos ,3,2,3,83
975,2300,                Rua Oswaldo Cruz ,1,2,1,56
976,2800,                Rua Santa Catarina ,2,2,2,70
977,3900,                Campo Grande Santos ,2,3,2,98
978,1400,                Rua Professor Pirajá da Silva  ,1,1,1,45
979,3000,                Avenida General Francisco Glicério ,2,2,2,60
980,1100,                Aparecida Santos ,1,1,1,30
981,1500,                Vila Belmiro Santos ,2,1,2,65
982,1800,                Estuário Santos ,1,2,1,60
983,2000,                Embaré Santos ,2,2,2,100
984,1500,                Boqueirão Santos ,2,1,2,54
985,4500,                Aparecida Santos ,1,2,1,66
986,3300,                Boqueirão Santos ,2,3,2,104
987,2500,                Praça José Domingues Martins  ,2,1,2,69
988,2800,                Rua Evaristo da Veiga  ,2,3,2,91
989,1710,                Marapé Santos ,3,3,3,114
990,2500,                Rua Almirante Barroso ,2,1,2,135
991,2100,                Macuco Santos ,2,1,2,75
992,3000,                Avenida Ana Costa  ,3,3,3,154
993,3500,                Avenida Ana Costa ,2,2,2,100
994,4500,                Gonzaga Santos ,3,3,3,140
995,2100,                Avenida Ana Costa ,2,2,2,98
996,2000,                Rua Vereador Henrique Soler ,1,2,1,55
997,1600,                José Menino Santos ,1,2,1,64
998,2000,                Rua Martin Afonso  ,5,2,5,129
999,1300,                Aparecida Santos ,1,1,1,45
1000,7000,                Ponta da Praia Santos ,4,4,4,390
1001,2600,                Boqueirão Santos ,2,1,2,75
1002,2200,                Rua Nabuco de Araújo ,2,1,2,170
1003,5000,                Gonzaga Santos ,1,2,1,73
1004,3600,                Gonzaga Santos ,3,3,3,203
1005,2500,                Ponta da Praia Santos ,1,1,1,51
1006,1530,                Rua Senador Lacerda Franco ,2,1,2,79
1007,2000,                Rua Doutor Carvalho de Mendonça ,2,1,2,120
1008,4200,                Avenida Presidente Wilson ,1,1,1,51
1009,1550,                Boqueirão Santos ,1,1,1,50
1010,1680,                Rua Godofredo Fraga  ,2,2,2,70
1011,8300,                Avenida Doutor Epitácio Pessoa ,3,4,3,163
1012,3000,                Boqueirão Santos ,2,2,2,86
1013,3300,                Rua Santa Catarina ,3,2,3,87
1014,3200,                Rua Godofredo Fraga ,2,2,2,85
1015,8900,                Ponta da Praia Santos ,3,5,3,151
1016,4400,                Gonzaga Santos ,2,2,2,82
1017,6000,                Avenida Bartolomeu de Gusmão ,3,4,3,265
1018,790,                Boqueirão Santos ,1,1,1,62
1019,3014,                Boqueirão Santos ,4,5,4,252
1020,3600,                Gonzaga Santos ,2,2,2,70
1021,2150,                Rua Frederico Ozanam ,1,1,1,76
1022,3200,                Avenida Presidente Wilson ,3,3,3,140
1023,2300,                Rua Doutor Luís de Faria  ,2,1,2,80
1024,2200,                Ponta da Praia Santos ,1,1,1,48
1025,8500,                Boqueirão Santos ,4,5,4,234
1026,2600,                Gonzaga Santos ,1,2,1,57
1027,8000,                Ponta da Praia Santos ,3,5,3,199
1028,6500,                Rua Alexandre Martins ,3,4,3,156
1029,1900,                Rua Coronel Pedro Arbues  ,2,3,2,90
1030,2300,                Rua Maestro Heitor Vila Lobos ,2,2,2,90
1031,3000,                Boqueirão Santos ,3,3,3,115
1032,3100,                Aparecida Santos ,1,1,1,64
1033,3500,                Rua Santa Catarina ,3,2,3,87
1034,2200,                Marapé Santos ,2,2,2,63
1035,3500,                Avenida Bartolomeu de Gusmão ,3,3,3,100
1036,1800,                Rua Professor Torres Homem ,2,2,2,70
1037,3000,                Gonzaga Santos ,3,2,3,110
1038,8000,                Avenida Doutor Epitácio Pessoa ,4,5,4,204
1039,5300,                Avenida Coronel Joaquim Montenegro ,3,4,3,129
1040,2100,                Rua Paraíba ,2,2,2,71
1041,2000,                Embaré Santos ,3,3,3,153
1042,5700,                Avenida Almirante Cochrane ,3,3,3,150
1043,1600,                Ponta da Praia Santos ,1,1,1,70
1044,2000,                Avenida Bartolomeu de Gusmão  ,1,1,1,65
1045,2300,                Rua Saturnino de Brito ,2,2,2,98
1046,3000,                Rua da Liberdade ,3,2,3,100
1047,1850,                Vila Mathias Santos ,1,1,1,50
1048,20000,                Avenida Doutor Epitácio Pessoa ,4,5,4,344
1049,5000,                Macuco Santos ,4,3,4,170
1050,7500,                Rua Bahia ,3,2,3,109
1051,3100,                Gonzaga Santos ,2,2,2,60
1052,3000,                Rua Azevedo Sodré ,3,4,3,155
1053,1800,                Rua Duque de Caxias ,2,1,2,60
1054,1700,                Boqueirão Santos ,2,1,2,70
1055,6500,                Boqueirão Santos ,4,5,4,209
1056,2900,                Avenida Conselheiro Nébias ,1,2,1,47
1057,3500,                Rua Espírito Santo ,2,3,2,100
1058,1600,                Avenida Marechal Deodoro ,1,1,1,48
1059,1380,                Rua Rodrigo Silva  ,1,1,1,60
1060,6000,                Embaré Santos ,4,6,4,210
1061,7200,                Ponta da Praia Santos ,3,5,3,158
1062,3500,                Rua Mário Carpenter  ,3,3,3,120
1063,1300,                Avenida Presidente Wilson  ,1,1,1,52
1064,950,                Rua Engenheiro Manoel Ferramenta Júnior ,2,1,2,55
1065,4600,                Avenida Presidente Wilson ,3,3,3,98
1066,1400,                Macuco Santos ,1,2,1,60
1067,3800,                Rua Jorge Tibiriçá ,3,3,3,127
1068,2500,                Rua Oswaldo Cruz ,1,2,1,45
1069,1300,                Rua Coronel Cândido Gomes ,1,1,1,44
1070,2500,                Avenida Conselheiro Nébias ,1,2,1,47
1071,4100,                Rua Euclides da Cunha ,3,2,3,87
1072,2500,                Gonzaga Santos ,3,2,3,87
1073,2500,                Rua Clay Presgrave do Amaral  ,2,2,2,85
1074,2000,                Avenida Presidente Wilson ,1,1,1,78
1075,3500,                Avenida Presidente Wilson ,3,3,3,140
1076,3500,                Rua José Caballero  ,2,1,2,82
1077,1600,                Rua Dom Duarte Leopoldo e Silva ,2,1,2,70
1078,2100,                Rua Amazonas ,2,1,2,120
1079,1700,                Avenida Presidente Wilson  ,1,1,1,40
1080,6500,                Rua Tolentino Filgueiras ,5,6,5,438
1081,2600,                Ponta da Praia Santos ,3,2,3,77
1082,3000,                Ponta da Praia Santos ,3,4,3,180
1083,4000,                Rua da Paz  ,1,1,1,40
1084,2600,                Avenida General Francisco Glicério ,1,2,1,52
1085,1700,                Embaré Santos ,2,1,2,65
1086,1400,                Rua Pindorama ,1,1,1,60
1087,2700,                Aparecida Santos ,2,1,2,75
1088,1500,                Rua Teixeira de Freitas  ,2,1,2,70
1089,2300,                Avenida Presidente Wilson ,2,1,2,55
1090,1500,                José Menino Santos ,1,1,1,45
1091,3000,                Embaré Santos ,3,2,3,128
1092,1400,                Gonzaga Santos ,1,1,1,55
1093,3850,                Avenida Doutor Moura Ribeiro  ,3,3,3,150
1094,1700,                Marapé Santos ,1,1,1,60
1095,6500,                Gonzaga Santos ,3,4,3,345
1096,1300,                Rua Afonso Celso de Paula Lima  ,1,1,1,43
1097,1200,                Rua Godofredo Fraga ,2,2,2,100
1098,5000,                Aparecida Santos ,3,4,3,118
1099,7000,                Rua Dona Anália Franco ,4,4,4,199
1100,1600,                Estuário Santos ,1,1,1,56
1101,3500,                Rua São José  ,3,3,3,99
1102,1200,                Aparecida Santos ,1,1,1,42
1103,1800,                Boqueirão Santos ,2,2,2,70
1104,3100,                José Menino Santos ,2,2,2,67
1105,2200,                Embaré Santos ,2,2,2,75
1106,2400,                Avenida Presidente Wilson ,2,1,2,50
1107,4700,                Avenida Washington Luís  ,3,2,3,100
1108,1800,                Rua Emílio Ribas  ,1,1,1,50
1109,10000,                Rua Castro Alves ,3,4,3,150
1110,6000,                Rua Pernambuco  ,3,4,3,150
1111,27000,                Avenida Presidente Wilson ,4,6,4,493
1112,2500,                Marapé Santos ,2,2,2,63
1113,3500,                Rua da Paz ,1,1,1,46
1114,3500,                Rua Tolentino Filgueiras  ,1,1,1,54
1115,1500,                Gonzaga Santos ,2,1,2,50
1116,5000,                Avenida Doutor Moura Ribeiro ,3,1,3,150
1117,2600,                Rua Comendador Alfaia Rodrigues ,2,2,2,86
1118,2700,                Rua Oswaldo Cochrane  ,3,3,3,112
1119,2550,                Rua da Liberdade ,2,1,2,113
1120,4000,                Avenida Vicente de Carvalho ,4,2,4,155
1121,3520,                Praça dos Expedicionários  ,3,5,3,270
1122,6000,                Boqueirão Santos ,3,3,3,150
1123,2900,                Rua Professor Tarquínio Silva  ,3,3,3,130
1124,2570,                Boqueirão Santos ,1,2,1,51
1125,4100,                Rua República do Equador ,2,4,2,111
1126,3600,                Rua Doutor Lincoln Feliciano ,2,2,2,118
1127,1600,                Boqueirão Santos ,1,2,1,55
1128,4300,                Avenida dos Bancários ,3,4,3,135
1129,2800,                Avenida Marechal Deodoro  ,2,2,2,140
1130,6500,                Rua Alexandre Martins ,3,4,3,156
1131,4500,                Vila Matias Santos ,3,3,3,100
1132,1850,                Vila Mathias Santos ,1,1,1,50
1133,2200,                Rua Governador Pedro de Toledo ,2,1,2,72
1134,3800,                Gonzaga Santos ,1,1,1,45
1135,4200,                Gonzaga Santos ,4,3,4,180
1136,2200,                Ponta da Praia Santos ,1,1,1,48
1137,1900,                Boqueirão Santos ,2,1,2,100
1138,1500,                Rua Galeão Carvalhal ,1,1,1,42
1139,3800,                Rua André Vidal de Negreiros ,2,4,2,77
1140,1800,                Rua Doutor Luís Suplicy  ,2,2,2,70
1141,4800,                Rua José Caballero ,2,2,2,69
1142,1600,                Marapé Santos ,2,1,2,71
1143,3200,                Avenida General Francisco Glicério ,2,2,2,58
1144,3500,                Rua José Caballero ,1,2,1,60
1145,3900,                Rua Oswaldo Cruz ,2,2,2,81
1146,6000,                Rua Alexandre Martins ,3,4,3,205
1147,2500,                Embaré Santos ,3,3,3,153
1148,3950,                Avenida Vicente de Carvalho ,3,4,3,200
1149,11000,                Avenida Bartolomeu de Gusmão ,3,4,3,260
1150,1700,                Avenida Conselheiro Nébias ,2,1,2,70
1151,2900,                José Menino Santos ,2,2,2,87
1152,2800,                Avenida Bartolomeu de Gusmão ,2,2,2,100
1153,1100,                Ponta da Praia Santos ,2,1,2,60
1154,3500,                Gonzaga Santos ,1,1,1,51
1155,1250,                Rua General Rondon ,1,1,1,45
1156,3200,                Rua Dona Maria Máximo ,3,2,3,92
1157,1900,                Gonzaga Santos ,2,1,2,65
1158,3600,                Rua Alfredo Ximenes ,2,3,2,79
1159,3600,                José Menino Santos ,2,2,2,100
1160,2299,                Boqueirão Santos ,2,2,2,82
1161,4000,                Gonzaga Santos ,1,2,1,67
1162,4500,                Avenida Ana Costa  ,2,3,2,85
1163,4500,                Avenida Bartolomeu de Gusmão  ,3,3,3,240
1164,1450,                Avenida Bartolomeu de Gusmão ,1,1,1,40
1165,2800,                Avenida Marechal Floriano Peixoto  ,3,2,3,120
1166,2300,                Marapé Santos ,2,2,2,63
1167,2300,                Rua Ricardo Pinto  ,2,3,2,122
1168,2600,                Rua Liberdade  ,2,2,2,110
1169,2200,                Rua Goytacazes  ,2,2,2,80
1170,6500,                Rua Álvaro Alvim ,4,4,4,131
1171,3650,                Rua Guaibê ,3,4,3,118
1172,2800,                Avenida Ana Costa ,2,2,2,110
1173,2200,                Boqueirão Santos ,2,3,2,130
1174,4000,                Rua Euclides da Cunha  ,2,3,2,93
1175,6230,                José Menino Santos ,3,3,3,264
1176,2200,                Rua da Paz ,1,2,1,60
1177,3500,                Rua Euclides da Cunha  ,3,3,3,160
1178,4173,                Avenida Marechal Floriano Peixoto ,1,2,1,72
1179,6500,                Embaré Santos ,3,2,3,132
1180,2200,                Avenida Conselheiro Nébias  ,1,1,1,47
1181,2500,                Boqueirão Santos ,2,2,2,80
1182,1550,                Rua Pereira Barreto ,1,1,1,38
1183,1900,                Campo Grande Santos ,2,2,2,92
1184,1200,                Boqueirão Santos ,1,1,1,30
1185,1700,                Rua Conselheiro Lafayette ,2,2,2,72
1186,3600,                Aparecida Santos ,3,3,3,170
1187,3100,                Gonzaga Santos ,2,2,2,58
1188,1400,                Rua Rodrigo Silva ,2,1,2,60
1189,1810,                Boqueirão Santos ,2,1,2,60
1190,2400,                Boqueirão Santos ,2,3,2,80
1191,2500,                Rua Marcelo Ribeiro de Mendonça  ,2,3,2,62
1192,1650,                Areia Branca Santos ,2,1,2,48
1193,9000,                Avenida Presidente Wilson ,3,4,3,252
1194,1500,                Boqueirão Santos ,1,1,1,50
1195,5500,                Rua República do Equador ,3,4,3,111
1196,3500,                Avenida Washington Luís ,3,3,3,97
1197,564,                Boqueirão Santos ,3,2,3,120
1198,1500,                Avenida Affonso Penna ,2,1,2,70
1199,4500,                Boqueirão Santos ,3,4,3,120
1200,2700,                Boqueirão Santos ,1,2,1,55
1201,2500,                Avenida Presidente Wilson ,2,3,2,80
1202,2500,                Gonzaga Santos ,1,1,1,60
1203,1500,                Avenida Marechal Floriano Peixoto ,1,1,1,54
1204,2910,                Rua Oswaldo Cruz ,3,3,3,194
1205,4500,                Rua Fábio Montenegro ,3,4,3,100
1206,2515,                Gonzaga Santos ,2,2,2,146
1207,3950,                Rua Jorge Tibiriçá ,3,3,3,163
1208,2800,                Rua São José ,3,3,3,113
1209,1500,                Avenida Bartolomeu de Gusmão ,1,1,1,43
1210,1600,                Rua Almirante Barroso  ,2,1,2,70
1211,2500,                Boqueirão Santos ,3,2,3,130
1212,1500,                Rua Teixeira de Freitas  ,2,1,2,70
1213,950,                Rua Manoel Neves dos Santos  ,2,1,2,44
1214,2100,                Rua Castro Alves ,3,3,3,202
1215,1800,                José Menino Santos ,1,1,1,70
1216,1350,                Ponta da Praia Santos ,2,1,2,50
1217,1262,                José Menino Santos ,2,2,2,92
1218,6000,                Rua Doutor Itapura de Miranda  ,3,4,3,150
1219,6000,                Avenida Senador Cesar Lacerda de Vergueiro ,2,3,2,135
1220,1800,                Avenida Senador Pinheiro Machado ,2,1,2,67
1221,2400,                Avenida Bartolomeu de Gusmão  ,2,1,2,90
1222,2200,                Avenida Presidente Wilson ,2,2,2,81
1223,1550,                Avenida Presidente Wilson ,1,2,1,55
1224,3900,                Pompéia Santos ,3,2,3,88
1225,4100,                Ponta da Praia Santos ,2,3,2,111
1226,3000,                Boqueirão Santos ,4,4,4,240
1227,1400,                Rua Monteiro Lobato ,1,1,1,50
1228,3200,                Rua Amaral Gurgel ,3,3,3,130
1229,3200,                Rua da Paz  ,1,1,1,46
1230,4600,                Avenida General Francisco Glicério ,3,2,3,95
1231,1200,                Gonzaga Santos ,1,1,1,52
1232,4200,                Rua Guaiaó ,1,1,1,66
1233,4500,                Gonzaga Santos ,3,4,3,130
1234,2500,                Rua Doutor Artur Porchat de Assis ,1,1,1,35
1235,2900,                Rua Goytacazes ,3,3,3,74
1236,8500,                Rua Firmino Barbosa ,4,6,4,262
1237,1900,                Pompéia Santos ,1,1,1,60
1238,2300,                Rua Maestro Heitor Vila Lobos ,2,2,2,90
1239,2500,                Rua Hélio Ansaldo ,2,2,2,86
1240,1000,                Rua Doutor Guilherme Álvaro ,1,1,1,45
1241,3900,                Rua Oswaldo Cruz ,2,3,2,81
1242,4000,                Boqueirão Santos ,3,3,3,163
1243,1800,                Rua Doutor Bezerra de Menezes  ,2,1,2,100
1244,4200,                Avenida Vicente de Carvalho ,3,3,3,210
1245,2500,                Avenida Marechal Floriano Peixoto  ,2,2,2,110
1246,8000,                Avenida Doutor Epitácio Pessoa ,3,5,3,223
1247,1300,                José Menino Santos ,1,1,1,45
1248,3800,                Avenida Senador César Lacerda Vergueiro  ,3,3,3,134
1249,4500,                Gonzaga Santos ,2,1,2,190
1250,12000,                Avenida Doutor Epitácio Pessoa  ,4,5,4,234
1251,3700,                Avenida Presidente Wilson  ,3,3,3,190
1252,3200,                Boqueirão Santos ,3,2,3,93
1253,2400,                Avenida Bartolomeu de Gusmão  ,1,2,1,60
1254,4500,                Rua Euclides da Cunha  ,2,3,2,94
1255,3500,                Rua José Caballero  ,2,2,2,82
1256,4500,                Rua Tolentino Filgueiras  ,2,2,2,80
1257,2500,                Boqueirão Santos ,1,1,1,51
1258,3000,                Avenida General Francisco Glicério  ,2,2,2,60
1259,2700,                Avenida Presidente Wilson ,2,2,2,77
1260,1300,                Aparecida Santos ,1,1,1,31
1261,3500,                Rua da Paz  ,1,1,1,46
1262,3500,                Rua José Caballero ,1,2,1,63
1263,2300,                Boqueirão Santos ,2,2,2,95
1264,2000,                Rua Doutor Armando de Sales Oliveira ,2,1,2,80
1265,1800,                Rua Professor Torres Homem  ,2,2,2,65
1266,1300,                Rua Coronel Cândido Gomes ,1,1,1,44
1267,1600,                Avenida Bartolomeu de Gusmão  ,1,1,1,30
1268,1800,                Campo Grande Santos ,2,1,2,67
1269,1800,                Boqueirão Santos ,2,2,2,60
1270,10000,                Boqueirão Santos ,4,4,4,245
1271,2200,                Ponta da Praia Santos ,4,1,4,100
1272,2000,                José Menino Santos ,1,1,1,68
1273,1500,                Rua Doutor Artur Porchat de Assis ,1,1,1,60
1274,4300,                Rua Oswaldo Cruz ,3,3,3,150
1275,1350,                Praça Washington  ,1,1,1,60
1276,7000,                Gonzaga Santos ,2,4,2,106
1277,3200,                Boqueirão Santos ,2,3,2,103
1278,1650,                Avenida Barão de Penedo  ,1,2,1,47
1279,1900,                Rua Emílio Ribas ,1,1,1,50
1280,4300,                Rua Fábio Montenegro ,3,3,3,130
1281,4700,                Boqueirão Santos ,3,2,3,130
1282,1300,                Rua Flaminio Levy  ,2,1,2,67
1283,1500,                Avenida Presidente Wilson ,1,2,1,55
1284,1700,                Avenida Presidente Wilson ,2,2,2,65
1285,4800,                Rua Pernambuco ,3,5,3,130
1286,2200,                Rua Oswaldo Cruz ,1,1,1,50
1287,2800,                Rua Doutor Artur Porchat de Assis ,1,1,1,44
1288,2650,                Embaré Santos ,3,3,3,154
1289,2400,                Gonzaga Santos ,2,1,2,66
1290,5000,                Gonzaga Santos ,1,1,1,65
1291,1650,                Gonzaga Santos ,2,1,2,50
1292,2100,                Avenida Bartolomeu de Gusmão ,1,2,1,74
1293,2600,                Rua Oswaldo Cruz ,3,3,3,142
1294,2671,                Gonzaga Santos ,3,3,3,127
1295,30000,                Rua Hércules Florence  ,6,5,6,750
1296,3800,                Rua Santa Catarina ,3,2,3,87
1297,1262,                José Menino Santos ,2,2,2,92
1298,600,                Praça Ruy de Lugo Viña  ,1,1,1,20
1299,2100,                Avenida Bartolomeu de Gusmão ,1,2,1,63
1300,1400,                Rua Doutor Egydio Martins  ,2,1,2,60
1301,2000,                Rua Caiobi ,2,1,2,48
1302,5400,                Rua Álvaro Alvim  ,3,3,3,115
1303,5300,                Aparecida Santos ,3,3,3,160
1304,3500,                Gonzaga Santos ,3,3,3,155
1305,1110,                Encruzilhada Santos ,1,2,1,93
1306,4500,                Rua Pasteur ,2,3,2,80
1307,1700,                Rua Doutor Egydio Martins ,2,2,2,92
1308,6300,                Aparecida Santos ,3,4,3,129
1309,5500,                Avenida Washington Luiz ,2,2,2,62
1310,3200,                Avenida Marechal Deodoro ,3,4,3,180
1311,2500,                Avenida Senador Pinheiro Machado ,2,1,2,83
1312,3500,                Rua Doutor Samuel Baccarat  ,1,1,1,59
1313,1400,                Embaré Santos ,3,1,3,100
1314,2510,                Campo Grande Santos ,2,1,2,84
1315,3800,                Avenida Doutor Epitácio Pessoa  ,2,3,2,75
1316,15000,                Avenida Doutor Epitácio Pessoa  ,4,4,4,204
1317,6500,                Embaré Santos ,3,4,3,131
1318,1900,                Avenida General Francisco Glicério  ,3,1,3,70
1319,1350,                Rua Rio de Janeiro  ,1,1,1,66
1320,4800,                Rua José Caballero ,2,1,2,80
1321,2400,                Embaré Santos ,2,2,2,94
1322,3500,                Rua Oswaldo Cruz ,3,3,3,140
1323,3700,                Rua Doutor Carvalho de Mendonça ,4,2,4,94
1324,1900,                Avenida Doutor Pedro Lessa  ,2,1,2,70
1325,1800,                Boqueirão Santos ,1,1,1,63
1326,2300,                Boqueirão Santos ,1,2,1,55
1327,3100,                Avenida General Francisco Glicério ,2,2,2,58
1328,13000,                Gonzaga Santos ,4,4,4,250
1329,2700,                Rua Tolentino Filgueiras ,2,2,2,79
1330,2800,                Aparecida Santos ,2,2,2,110
1331,1650,                Ponta da Praia Santos ,1,1,1,45
1332,2300,                Embaré Santos ,2,1,2,58
1333,2100,                Ponta da Praia Santos ,2,1,2,98
1334,1400,                Boqueirão Santos ,1,1,1,50
1335,1950,                Gonzaga Santos ,3,2,3,78
1336,1350,                Rua Bassim Nagib Trabulsi ,1,1,1,55
1337,7200,                Rua Vahia de Abreu  ,3,4,3,160
1338,2850,                Avenida Presidente Wilson ,3,2,3,95
1339,2300,                Vila Mathias Santos ,2,2,2,85
1340,3500,                Rua Dona Maria Máximo  ,3,2,3,92
1341,2884,                José Menino Santos ,2,2,2,70
1342,1700,                Pompéia Santos ,1,1,1,76
1343,2200,                Rua Doutor Germano Melchert ,2,2,2,90
1344,2200,                Rua Governador Pedro de Toledo  ,2,1,2,90
1345,3400,                Rua Tolentino Filgueiras ,1,1,1,54
1346,1650,                Aparecida Santos ,2,1,2,65
1347,4000,                Aparecida Santos ,2,1,2,110
1348,3000,                Boqueirão Santos ,3,3,3,120
1349,3500,                Avenida Bartolomeu de Gusmão ,3,1,3,158
1350,3200,                Rua Godofredo Fraga ,2,2,2,75
1351,2500,                Boqueirão Santos ,3,3,3,220
1352,4500,                Rua Fábio Montenegro ,3,4,3,130
1353,4500,                Rua Dona Amélia Leuchtenberg  ,3,4,3,104
1354,2400,                Avenida Doutor Epitácio Pessoa ,2,3,2,120
1355,2500,                Avenida Doutor Pedro Lessa ,2,2,2,100
1356,2600,                Avenida General Francisco Glicério ,1,2,1,51
1357,5900,                Boqueirão Santos ,3,4,3,181
1358,1500,                Avenida Marechal Floriano Peixoto ,1,1,1,60
1359,2200,                Rua Vereador Henrique Soler  ,1,1,1,63
1360,2400,                Ponta da Praia Santos ,2,2,2,80
1361,2300,                Marapé Santos ,2,2,2,63
1362,1721,                Rua Emílio Ribas ,1,1,1,50
1363,1800,                Gonzaga Santos ,1,1,1,58
1364,750,                Rua Engenheiro Manoel Ferramenta Júnior  ,1,1,1,20
1365,2300,                Avenida Presidente Wilson ,2,2,2,120
1366,6000,                Rua Galeão Coutinho  ,3,3,3,150
1367,2000,                Ponta da Praia Santos ,2,2,2,70
1368,5500,                Rua República do Equador  ,3,3,3,111
1369,2700,                Rua Pedro Borges Gonçalves  ,2,2,2,110
1370,2450,                Avenida Conselheiro Nébias ,1,2,1,47
1371,6000,                Avenida Senador Cesar Lacerda de Vergueiro  ,2,1,2,135
1372,3200,                Rua Afonso Celso de Paula Lima ,3,3,3,150
1373,4500,                Rua Guaibê  ,3,2,3,170
1374,1500,                Marapé Santos ,2,1,2,98
1375,1500,                Rua Almirante Tamandaré  ,2,1,2,70
1376,2500,                Avenida Presidente Wilson ,2,2,2,90
1377,1500,                Avenida Presidente Wilson ,1,2,1,55
1378,2500,                Avenida General San Martin ,3,2,3,96
1379,4600,                Gonzaga Santos ,1,1,1,44
1380,2400,                Boqueirão Santos ,2,2,2,70
1381,4000,                Avenida General San Martin ,3,4,3,180
1382,1400,                Avenida Bartolomeu de Gusmão  ,1,2,1,60
1383,3300,                Marapé Santos ,3,2,3,84
1384,2500,                Gonzaga Santos ,2,2,2,90
1385,1100,                Campo Grande Santos ,2,1,2,50
1386,5000,                Rua André Vidal de Negreiros ,3,5,3,106
1387,3000,                Gonzaga Santos ,3,2,3,134
1388,21600,                Avenida Presidente Wilson ,4,6,4,365
1389,2900,                Gonzaga Santos ,2,3,2,97
1390,1700,                Pompéia Santos ,1,1,1,50
1391,7000,                Aparecida Santos ,4,3,4,180
1392,2500,                Gonzaga Santos ,2,3,2,95
1393,1500,                Aparecida Santos ,3,2,3,120
1394,3800,                Ponta da Praia Santos ,3,4,3,111
1395,2200,                Marapé Santos ,2,2,2,100
1396,1100,                Avenida Conselheiro Nébias  ,1,1,1,80
1397,2000,                Rua Comendador Martins ,2,1,2,75
1398,7000,                Avenida Rei Alberto I ,4,5,4,167
1399,3200,                Ponta da Praia Santos ,3,2,3,92
1400,2500,                Rua Paraíba ,3,2,3,80
1401,1100,                Aparecida Santos ,1,1,1,21
1402,1400,                Rua Pedro Borges Gonçalves ,2,1,2,56
